cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
27,3.9833333333333334,3.9694444444444446,0.9965132496513249,1.1280079694606189,26.02406392873877,2.855864130898314,4.331472830481922,4.9593778480512,0.020482380195638063,baseline_25C_1C
28,3.9805555555555556,3.966666666666667,0.9965108164689462,1.1280637044864195,26.02494877728644,2.855797487790849,4.331278275091092,4.9569102733911405,0.020500084289939966,baseline_25C_1C
29,3.9805555555555556,3.966666666666667,0.9965108164689462,1.1281416954436199,26.026354517257783,2.8556764551132203,4.3319528094783175,4.954706895582717,0.02052820061003424,baseline_25C_1C
30,3.977777777777778,3.963888888888889,0.9965083798882681,1.128169529843721,26.026728632508902,2.855652819019285,4.331485748214184,4.953149674909754,0.020535689536632016,baseline_25C_1C
31,3.977777777777778,3.963888888888889,0.9965083798882681,1.1282246881219742,26.027635510450633,2.855565294398628,4.331662909094847,4.952786812025556,0.0205538280819782,baseline_25C_1C
32,3.975,3.9611111111111112,0.9965059399021663,1.1282816183759445,26.02849409122936,2.8554959175710404,4.331316668347327,4.950927354290311,0.020571006894016027,baseline_25C_1C
33,3.975,3.9611111111111112,0.9965059399021663,1.1283296828490366,26.02937996854743,2.855421558644698,4.331794081344828,4.949325217685325,0.020588725409438666,baseline_25C_1C
34,3.9722222222222223,3.9583333333333335,0.9965034965034966,1.1283862290765385,26.03022707531403,2.855352728269164,4.331429142214653,4.947535937733231,0.02060567477964398,baseline_25C_1C
35,3.9722222222222223,3.9583333333333335,0.9965034965034966,1.128433654574745,26.031197437829995,2.8552813400850687,4.332226016473841,4.944659709402615,0.020625083097384055,baseline_25C_1C
36,3.9694444444444446,3.9555555555555557,0.9965010496850945,1.1285247736440502,26.032599381049994,2.8551577519321527,4.33193575312536,4.942792840615398,0.0206531298621646,baseline_25C_1C
37,3.9694444444444446,3.9555555555555557,0.9965010496850945,1.1285749755783565,26.033544214191558,2.855080532848602,4.332500501380135,4.940857984003631,0.020672027570151873,baseline_25C_1C
38,3.966666666666667,3.952777777777778,0.9964985994397759,1.1286575140351538,26.034832729935673,2.854971106398025,4.332274631423514,4.938680228596663,0.02069780571806536,baseline_25C_1C
39,3.963888888888889,3.95,0.9964961457603364,1.1287224034000296,26.03579311650481,2.8548887728887724,4.331858471177262,4.9371417572848015,0.02071702096737535,baseline_25C_1C
40,3.963888888888889,3.95,0.9964961457603364,1.12878020860898,26.0368067871137,2.8547984349303404,4.332260494847415,4.935905760881266,0.020737295513444116,baseline_25C_1C
41,3.963888888888889,3.95,0.9964961457603364,1.1287982080227739,26.037184307554814,2.854771233101734,4.332585306787746,4.934724134445072,0.020744846344560416,baseline_25C_1C
42,3.9611111111111112,3.9472222222222224,0.9964936886395512,1.1288626072514378,26.03819308777367,2.854690890328981,4.332359081934657,4.93242926579455,0.02076502957818068,baseline_25C_1C
43,3.9611111111111112,3.9472222222222224,0.9964936886395512,1.1289244916836656,26.039336144050736,2.8545954150171857,4.332985203505129,4.930329614980379,0.02078789198950115,baseline_25C_1C
44,3.9583333333333335,3.9444444444444446,0.9964912280701754,1.1289735820546054,26.04003212656902,2.854537999579593,4.332499633315274,4.928966043435334,0.02080181897161552,baseline_25C_1C
45,3.9555555555555557,3.941666666666667,0.9964887640449438,1.1290255093801456,26.040863739964085,2.8544779780856246,4.332323892043342,4.92638866590775,0.020818458771067402,baseline_25C_1C
46,3.9555555555555557,3.941666666666667,0.9964887640449438,1.1290649984591512,26.04163350871275,2.854417725828729,4.332855338554399,4.924528216597056,0.020833855021644795,baseline_25C_1C
47,3.9555555555555557,3.941666666666667,0.9964887640449438,1.129158004990628,26.04316865454714,2.8542707623270784,4.333186718118688,4.923794623209875,0.020864559684545217,baseline_25C_1C
48,3.952777777777778,3.938888888888889,0.9964862965565706,1.1292059552673432,26.04390657418659,2.854216488731551,4.332902249883408,4.921623811552893,0.02087932556392021,baseline_25C_1C
49,3.952777777777778,3.938888888888889,0.9964862965565706,1.1292488178412305,26.044712069077836,2.854150305279195,4.333378155306597,4.920004217624278,0.02089543638311626,baseline_25C_1C
50,3.95,3.936111111111111,0.9964838255977495,1.129275414114451,26.04500364061572,2.8541275963039587,4.332697582378295,4.9192628727353265,0.020901274838911493,baseline_25C_1C
51,3.95,3.936111111111111,0.9964838255977495,1.1293020674379544,26.045588121684947,2.854087660781808,4.333270561386806,4.917160759910335,0.020912965132602115,baseline_25C_1C
