cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
29,3.938888888888889,3.922222222222222,0.9957686882933708,1.2751413151195148,39.19479077673847,2.704571228183698,4.465012426179118,4.8985060273018775,0.02104409187101676,stress_35C_2C
30,3.938888888888889,3.922222222222222,0.9957686882933708,1.275322689200859,39.200855830415996,2.704331580871586,4.4662728441149735,4.89500502547444,0.02107451854867121,stress_35C_2C
31,3.933333333333333,3.9166666666666665,0.9957627118644068,1.2755507308628469,39.206795104659804,2.7040967946016132,4.46550823957554,4.891354644748571,0.021104746455767025,stress_35C_2C
32,3.933333333333333,3.9166666666666665,0.9957627118644068,1.2757943104067289,39.21466980272798,2.7037720013215734,4.466941125880959,4.8875610160890774,0.021144252422187967,stress_35C_2C
33,3.9277777777777776,3.911111111111111,0.9957567185289957,1.2760701767684104,39.221410927242125,2.7034648876369345,4.465738709655651,4.885646343357778,0.02117850804986194,stress_35C_2C
34,3.9277777777777776,3.911111111111111,0.9957567185289957,1.276346973291318,39.230306745950436,2.7030954546033445,4.467318760563883,4.881508370222266,0.021223137717849797,stress_35C_2C
35,3.922222222222222,3.9055555555555554,0.9957507082152974,1.2765832812727598,39.236817229290516,2.702854350888677,4.466903543592082,4.876677970105546,0.021256241425669033,stress_35C_2C
36,3.9166666666666665,3.9,0.9957446808510638,1.2768474526451323,39.2438398311486,2.7025717453086546,4.466277095808903,4.872701088592924,0.02129191878215361,stress_35C_2C
37,3.9166666666666665,3.9,0.9957446808510638,1.2770599655426067,39.25065584152599,2.702288141810462,4.467477374350817,4.8695750922470955,0.021326115628676787,stress_35C_2C
38,3.911111111111111,3.8944444444444444,0.9957386363636364,1.2772631834453012,39.25575763320221,2.702087602405357,4.4665399683007765,4.86637098490122,0.021352160960751362,stress_35C_2C
39,3.911111111111111,3.8944444444444444,0.9957386363636364,1.277534963623072,39.26378808320751,2.7017167947046326,4.467414228085363,4.864652894299557,0.021392451662402744,stress_35C_2C
40,3.911111111111111,3.8944444444444444,0.9957386363636364,1.2777959124377092,39.272203965950304,2.701369484991822,4.46893607320482,4.860657066615936,0.021434676172922155,stress_35C_2C
41,3.9055555555555554,3.888888888888889,0.9957325746799431,1.2781099666808398,39.28082344693702,2.701021600744425,4.468598181579784,4.8559156894805415,0.021478376776505114,stress_35C_2C
